Front	Back	Tags
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>选择测试的定义</h1><div class=""q""><span class=""blank"">______</span>是选择有代表性的<span class=""blank"">______</span>进行有限的测试。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>选择测试的定义</h1><div class=""a""><span class=""hit"">选择测试</span>是选择有代表性的<span class=""hit"">测试用例</span>进行有限的测试。</div><div class=""ansbox"">挖空答案：<b>选择测试；测试用例</b></div><div class=""pg"">教材页码：P160</div>"	软件测试 识记 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>边界值测试的目的</h1><div class=""q"">经验表明，在处理边界情况时程序很容易出错，大量<span class=""blank"">______</span>发生在输入或输出范围的边界上，而不在输入范围的内部。因此针对各种边界情况<span class=""blank"">______</span>测试用例，查出错误的概率更大。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>边界值测试的目的</h1><div class=""a"">经验表明，在处理边界情况时程序很容易出错，大量<span class=""hit"">错误</span>发生在输入或输出范围的边界上，而不在输入范围的内部。因此针对各种边界情况<span class=""hit"">设计</span>测试用例，查出<span class=""hit"">错误</span>的概率更大。</div><div class=""ansbox"">挖空答案：<b>错误；设计</b></div><div class=""pg"">教材页码：P160</div>"	软件测试 识记 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>设计黑盒法测试用例的步骤</h1><div class=""q"">黑盒测试根据程序功能设计<span class=""blank"">______</span>，步骤为：1）建立等价类表；2）为每一个等价类规定一个唯一编号；3）设计一个新的测试用例，使其尽可能多地覆盖尚未被覆盖的<span class=""blank"">______</span>，重复直到所有有效等价类都被覆盖；4）设计一个新的测试用例，使其覆盖一个尚未被覆盖的<span class=""blank"">______</span>，重复直到所有无效等价类都被覆盖。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>设计黑盒法测试用例的步骤</h1><div class=""a"">黑盒测试根据程序功能设计<span class=""hit"">测试用例</span>，步骤为：1）建立等价类表；2）为每一个等价类规定一个唯一编号；3）设计一个新的<span class=""hit"">测试用例</span>，使其尽可能多地覆盖尚未被覆盖的<span class=""hit"">有效等价类</span>，重复直到所有<span class=""hit"">有效等价类</span>都被覆盖；4）设计一个新的<span class=""hit"">测试用例</span>，使其覆盖一个尚未被覆盖的<span class=""hit"">无效等价类</span>，重复直到所有<span class=""hit"">无效等价类</span>都被覆盖。</div><div class=""ansbox"">挖空答案：<b>测试用例；有效等价类；无效等价类</b></div><div class=""pg"">教材页码：P154</div>"	软件测试 领会 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>边界值分析方法选择测试用例的原则</h1><div class=""q"">边界值分析<span class=""blank"">______</span>用例的原则：1）若输入条件规定了值的范围，取刚达到范围边界的值及刚刚超越边界的值；2）若规定了值的个数，用最大个数、最小个数、比最大个数多1、比最小个数少1的数；3）对每个输出条件使用原则1）；4）对每个输出条件使用原则2）；5）若<span class=""blank"">______</span>或<span class=""blank"">______</span>是有序集合，选取集合的第一个和最后一个元素；6）若程序使用内部数据结构，选择其边界上的值；7）分析规格说明，找出其他可能的边界条件。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>边界值分析方法选择测试用例的原则</h1><div class=""a"">边界值分析<span class=""hit"">选择测试</span>用例的原则：1）若输入条件规定了值的范围，取刚达到范围边界的值及刚刚超越边界的值；2）若规定了值的个数，用最大个数、最小个数、比最大个数多1、比最小个数少1的数；3）对每个输出条件使用原则1）；4）对每个输出条件使用原则2）；5）若<span class=""hit"">输入域</span>或<span class=""hit"">输出域</span>是有序集合，选取集合的第一个和最后一个元素；6）若程序使用内部数据结构，选择其边界上的值；7）分析规格说明，找出其他可能的边界条件。</div><div class=""ansbox"">挖空答案：<b>选择测试；输入域；输出域</b></div><div class=""pg"">教材页码：P161</div>"	软件测试 领会 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>简单应用</h1><div class=""q"">简单应用要求：能针对具体程序（如求整数绝对值、求解一元二次方程ax²+bx+c=0等），运用黑盒法划分<span class=""blank"">______</span>的<span class=""blank"">______</span>和<span class=""blank"">______</span>、建立等价类表，并据此设计测试用例、选取代表性测试数据进行功能测试。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>简单应用</h1><div class=""a"">简单应用要求：能针对具体程序（如求整数绝对值、求解一元二次方程ax²+bx+c=0等），运用黑盒法划分<span class=""hit"">输入域</span>的<span class=""hit"">有效等价类</span>和<span class=""hit"">无效等价类</span>、建立等价类表，并据此设计测试用例、选取代表性测试数据进行功能测试。</div><div class=""ansbox"">挖空答案：<b>输入域；有效等价类；无效等价类</b></div><div class=""pg"">教材页码：P155</div>"	软件测试 领会 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>黑盒测试中的等价类划分、测试用例的设计</h1><div class=""q"">等价类划分方法把所有可能的输入数据（输入域）划分成若干部分，从每一部分选取少数有代表性的数据作为<span class=""blank"">______</span>。<span class=""blank"">______</span>是合理、有意义的输入数据构成的集合，用于验证程序实现了规格说明规定的功能性能；<span class=""blank"">______</span>是不合理、无意义的输入数据构成的集合，用于检查程序功能性能是否不符合规格说明。设计用例时先建等价类表并编号，再逐个覆盖有效等价类和无效等价类。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>黑盒测试中的等价类划分、测试用例的设计</h1><div class=""a"">等价类划分方法把所有可能的输入数据（输入域）划分成若干部分，从每一部分选取少数有代表性的数据作为<span class=""hit"">测试用例</span>。<span class=""hit"">有效等价类</span>是合理、有意义的输入数据构成的集合，用于验证程序实现了规格说明规定的功能性能；<span class=""hit"">无效等价类</span>是不合理、无意义的输入数据构成的集合，用于检查程序功能性能是否不符合规格说明。设计用例时先建等价类表并编号，再逐个覆盖<span class=""hit"">有效等价类</span>和<span class=""hit"">无效等价类</span>。</div><div class=""ansbox"">挖空答案：<b>测试用例；有效等价类；无效等价类</b></div><div class=""pg"">教材页码：P155</div>"	软件测试 领会 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>白盒测试的语句覆盖、判定覆盖、条件覆盖、条件组合覆盖、判定-条件覆盖、路径覆盖技术的测试用例的设计</h1><div class=""q"">逻辑覆盖是以程序内部逻辑结构为基础的测试用例设计技术，分为：1）<span class=""blank"">______</span>：使每条语句都执行至少一次；2）<span class=""blank"">______</span>：使每个判断的取真、取假分支都执行至少一次；3）条件覆盖：使每个条件都按真、假执行至少一次；4）判定-条件覆盖：每个判断的每个条件按真假取值各至少一次，同时每个判断也按真假取值各至少一次；5）<span class=""blank"">______</span>：使每个判断的所有可能条件取值组合都执行至少一次；6）路径覆盖：使测试用例覆盖程序中所有可能路径。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>白盒测试的语句覆盖、判定覆盖、条件覆盖、条件组合覆盖、判定-条件覆盖、路径覆盖技术的测试用例的设计</h1><div class=""a"">逻辑覆盖是以程序内部逻辑结构为基础的测试用例设计技术，分为：1）<span class=""hit"">语句覆盖</span>：使每条语句都执行至少一次；2）<span class=""hit"">判定覆盖</span>：使每个判断的取真、取假分支都执行至少一次；3）条件覆盖：使每个条件都按真、假执行至少一次；4）判定-条件覆盖：每个判断的每个条件按真假取值各至少一次，同时每个判断也按真假取值各至少一次；5）<span class=""hit"">条件组合覆盖</span>：使每个判断的所有可能条件取值组合都执行至少一次；6）路径覆盖：使测试用例覆盖程序中所有可能路径。</div><div class=""ansbox"">挖空答案：<b>语句覆盖；判定覆盖；条件组合覆盖</b></div><div class=""pg"">教材页码：P157</div>"	软件测试 领会 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>边界值分析方法测试用例的设计</h1><div class=""q"">使用边界值分析方法设计<span class=""blank"">______</span>，首先应确定边界情况，通常输入<span class=""blank"">______</span>与输出等价类的边界就是应重点测试的边界情况。应选取正好等于、刚刚大于或刚刚小于边界的值作为测试<span class=""blank"">______</span>，而不是选取等价类中的典型值或任意值作为测试数据。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">软件测试的方法与技术</span></div><h1>边界值分析方法测试用例的设计</h1><div class=""a"">使用边界值分析方法设计<span class=""hit"">测试用例</span>，首先应确定边界情况，通常输入<span class=""hit"">等价类</span>与输出<span class=""hit"">等价类</span>的边界就是应重点测试的边界情况。应选取正好等于、刚刚大于或刚刚小于边界的值作为测试<span class=""hit"">数据</span>，而不是选取<span class=""hit"">等价类</span>中的典型值或任意值作为测试<span class=""hit"">数据</span>。</div><div class=""ansbox"">挖空答案：<b>测试用例；等价类；数据</b></div><div class=""pg"">教材页码：P161</div>"	软件测试 领会 软件测试的方法与技术 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>单元测试的定义</h1><div class=""q""><span class=""blank"">______</span>是对单个程序模块（如一个具有特定功能的函数）进行的测试，又称模块测试，是对软件设计的最小单位（即程序模块）进行正确性检验的测试工作。单元测试需要从程序的内部<span class=""blank"">______</span>出发设计<span class=""blank"">______</span>，多个模块可以并行、独立地进行单元测试。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>单元测试的定义</h1><div class=""a""><span class=""hit"">单元测试</span>是对单个程序模块（如一个具有特定功能的函数）进行的测试，又称模块测试，是对软件设计的最小单位（即程序模块）进行正确性检验的测试工作。<span class=""hit"">单元测试</span>需要从程序的内部<span class=""hit"">结构</span>出发设计<span class=""hit"">测试用例</span>，多个模块可以并行、独立地进行<span class=""hit"">单元测试</span>。</div><div class=""ansbox"">挖空答案：<b>单元测试；结构；测试用例</b></div><div class=""pg"">教材页码：P161</div>"	软件测试 识记 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>单元测试的步骤</h1><div class=""q"">在模块编码完成后根据<span class=""blank"">______</span>和设计文档设计<span class=""blank"">______</span>（每个用例都应有输入数据和预期正确结果），然后编写辅助模块（<span class=""blank"">______</span>和桩模块），最后运行执行测试。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>单元测试的步骤</h1><div class=""a"">在模块编码完成后根据<span class=""hit"">需求规格说明</span>和设计文档设计<span class=""hit"">测试用例</span>（每个用例都应有输入数据和预期正确结果），然后编写辅助模块（<span class=""hit"">驱动模块</span>和桩模块），最后运行执行测试。</div><div class=""ansbox"">挖空答案：<b>需求规格说明；测试用例；驱动模块</b></div><div class=""pg"">教材页码：P162</div>"	软件测试 识记 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>单元测试5个方面的内容</h1><div class=""q"">单元测试阶段需要分别从以下5个方面对模块进行检查：<span class=""blank"">______</span>、<span class=""blank"">______</span>、路径测试、<span class=""blank"">______</span>、边界测试。测试时以白盒测试为主、黑盒测试为辅，两种方法相结合。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>单元测试5个方面的内容</h1><div class=""a"">单元测试阶段需要分别从以下5个方面对模块进行检查：<span class=""hit"">模块接口测试</span>、<span class=""hit"">局部数据结构测试</span>、路径测试、<span class=""hit"">错误处理测试</span>、边界测试。测试时以白盒测试为主、黑盒测试为辅，两种方法相结合。</div><div class=""ansbox"">挖空答案：<b>模块接口测试；局部数据结构测试；错误处理测试</b></div><div class=""pg"">教材页码：P162</div>"	软件测试 识记 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>驱动模块</h1><div class=""q"">驱动模块相当于被测试模块的<span class=""blank"">______</span>者程序。驱动模块接收测试<span class=""blank"">______</span>，再把这些数据传送给被测模块，最后输出实际的测试结果。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>驱动模块</h1><div class=""a"">驱动模块相当于被测试模块的<span class=""hit"">调用</span>者程序。驱动模块接收测试<span class=""hit"">数据</span>，再把这些<span class=""hit"">数据</span>传送给被测模块，最后输出实际的测试结果。</div><div class=""ansbox"">挖空答案：<b>调用；数据</b></div><div class=""pg"">教材页码：P162</div>"	软件测试 识记 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>桩模块</h1><div class=""q"">桩模块用于代替被测模块所<span class=""blank"">______</span>的模块。桩模块仅进行少量的<span class=""blank"">______</span>操作，不需要把被测模块所调用模块的<span class=""blank"">______</span>都放进来。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">单元测试</span></div><h1>桩模块</h1><div class=""a"">桩模块用于代替被测模块所<span class=""hit"">调用</span>的模块。桩模块仅进行少量的<span class=""hit"">数据</span>操作，不需要把被测模块所<span class=""hit"">调用</span>模块的<span class=""hit"">功能</span>都放进来。</div><div class=""ansbox"">挖空答案：<b>调用；数据；功能</b></div><div class=""pg"">教材页码：P162</div>"	软件测试 识记 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>模块接口测试</h1><div class=""q"">在<span class=""blank"">______</span>开始时首先测试模块能否正确地输入及输出<span class=""blank"">______</span>。检查<span class=""blank"">______</span>包括：输入参数与形式参数在数量、类型、顺序上是否匹配；调用子模块时子模块收到的参数是否匹配；是否修改了仅作为输入的形式参数；输出给标准函数的参数是否正确；全局变量定义在各模块中是否一致；是否限制了仅用形式参数传递。当模块通过外部设备输入输出时，还要检查文件属性、OPEN/CLOSE语句、输入输出格式、缓冲区与记录长度、文件开关、错误处理等。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>模块接口测试</h1><div class=""a"">在<span class=""hit"">单元测试</span>开始时首先测试模块能否正确地输入及输出<span class=""hit"">数据</span>。检查<span class=""hit"">项目</span>包括：输入参数与形式参数在数量、类型、顺序上是否匹配；调用子模块时子模块收到的参数是否匹配；是否修改了仅作为输入的形式参数；输出给标准函数的参数是否正确；全局变量定义在各模块中是否一致；是否限制了仅用形式参数传递。当模块通过外部设备输入输出时，还要检查文件属性、OPEN/CLOSE语句、输入输出格式、缓冲区与记录长度、文件开关、错误处理等。</div><div class=""ansbox"">挖空答案：<b>单元测试；数据；项目</b></div><div class=""pg"">教材页码：P162</div>"	软件测试 领会 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>局部数据结构测试</h1><div class=""q"">模块的局部数据<span class=""blank"">______</span>是最常见的<span class=""blank"">______</span>来源，应<span class=""blank"">______</span>测试用例检查：1）是否存在不正确或不一致的数据类型说明；2）是否使用了没有赋值或未初始化的变量；3）局部变量是否被设置了错误的缺省值或初始值；4）局部变量名的拼写是否存在错误。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>局部数据结构测试</h1><div class=""a"">模块的局部数据<span class=""hit"">结构</span>是最常见的<span class=""hit"">错误</span>来源，应<span class=""hit"">设计</span>测试用例检查：1）是否存在不正确或不一致的数据类型说明；2）是否使用了没有赋值或未初始化的变量；3）局部变量是否被设置了<span class=""hit"">错误</span>的缺省值或初始值；4）局部变量名的拼写是否存在<span class=""hit"">错误</span>。</div><div class=""ansbox"">挖空答案：<b>结构；错误；设计</b></div><div class=""pg"">教材页码：P163</div>"	软件测试 领会 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>路径测试</h1><div class=""q"">由于模块执行路径不可能<span class=""blank"">______</span>，要为模块选择规模适当的重要执行路径构造<span class=""blank"">______</span>。测试内容包括：1）是否存在错误的计算（运算优先次序错误、类型不相容、算法错误、初始化错误、精度不够、表达式符号错误等）；2）是否存在比较错误或<span class=""blank"">______</span>流错误（不同类型比较、错误逻辑运算、浮点精度比较错误、错误变量和比较符、边界值错误、死循环、不适当修改循环变量等）。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>路径测试</h1><div class=""a"">由于模块执行路径不可能<span class=""hit"">穷举测试</span>，要为模块选择规模适当的重要执行路径构造<span class=""hit"">测试用例</span>。测试内容包括：1）是否存在错误的计算（运算优先次序错误、类型不相容、算法错误、初始化错误、精度不够、表达式符号错误等）；2）是否存在比较错误或<span class=""hit"">控制</span>流错误（不同类型比较、错误逻辑运算、浮点精度比较错误、错误变量和比较符、边界值错误、死循环、不适当修改循环变量等）。</div><div class=""ansbox"">挖空答案：<b>穷举测试；测试用例；控制</b></div><div class=""pg"">教材页码：P163</div>"	软件测试 领会 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>错误处理测试</h1><div class=""q"">完善的模块<span class=""blank"">______</span>应能预见出错条件并设置适当的出错处理。出现以下情况表明<span class=""blank"">______</span>处理<span class=""blank"">______</span>有错误或缺陷：1）出错描述难以理解；2）出错描述不足以对错误定位、难以确定出错原因；3）预测的错误与实际的错误不符；4）对错误条件的处理不正确；5）在对错误进行处理之前，错误条件已经引起系统的干预。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>错误处理测试</h1><div class=""a"">完善的模块<span class=""hit"">设计</span>应能预见出错条件并设置适当的出错处理。出现以下情况表明<span class=""hit"">错误</span>处理<span class=""hit"">功能</span>有<span class=""hit"">错误</span>或缺陷：1）出错描述难以理解；2）出错描述不足以对<span class=""hit"">错误</span>定位、难以确定出错原因；3）预测的<span class=""hit"">错误</span>与实际的<span class=""hit"">错误</span>不符；4）对<span class=""hit"">错误</span>条件的处理不正确；5）在对<span class=""hit"">错误</span>进行处理之前，<span class=""hit"">错误</span>条件已经引起系统的干预。</div><div class=""ansbox"">挖空答案：<b>设计；错误；功能</b></div><div class=""pg"">教材页码：P163</div>"	软件测试 领会 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>边界测试</h1><div class=""q"">程序很容易在边界值上出错，如循环边界值、数组下标边界值、比较条件边界值引起的错误。因此需特别注意<span class=""blank"">______</span>、控制流中刚好等于、大于或小于确定比较值时出错的可能性，对这些地方仔细<span class=""blank"">______</span>或<span class=""blank"">______</span>用例，认真进行测试。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">单元测试</span></div><h1>边界测试</h1><div class=""a"">程序很容易在边界值上出错，如循环边界值、数组下标边界值、比较条件边界值引起的错误。因此需特别注意<span class=""hit"">数据流</span>、控制流中刚好等于、大于或小于确定比较值时出错的可能性，对这些地方仔细<span class=""hit"">设计</span>或<span class=""hit"">选择测试</span>用例，认真进行测试。</div><div class=""ansbox"">挖空答案：<b>数据流；设计；选择测试</b></div><div class=""pg"">教材页码：P163</div>"	软件测试 领会 单元测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">组装测试</span></div><h1>组装测试的4种组装方式</h1><div class=""q"">组装测试（集成测试）有<span class=""blank"">______</span>测试和增殖式组装测试两种方式，增殖式组装测试又分为：<span class=""blank"">______</span>的组装测试、<span class=""blank"">______</span>的组装测试、混合组装测试，共4种组装方式。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">识记</span><span class=""chip c3"">组装测试</span></div><h1>组装测试的4种组装方式</h1><div class=""a"">组装测试（集成测试）有<span class=""hit"">一次性组装</span>测试和增殖式组装测试两种方式，增殖式组装测试又分为：<span class=""hit"">自顶向下</span>的组装测试、<span class=""hit"">自底向上</span>的组装测试、混合组装测试，共4种组装方式。</div><div class=""ansbox"">挖空答案：<b>一次性组装；自顶向下；自底向上</b></div><div class=""pg"">教材页码：P164</div>"	软件测试 识记 组装测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自顶向下组装测试的步骤</h1><div class=""q""><span class=""blank"">______</span>组装测试步骤：1）把主模块作为所测模块的<span class=""blank"">______</span>，所有直属于主模块的下属模块全部用桩模块代替，对主模块进行测试；2）采用深度优先或分层策略，用实际模块替代相应桩模块，再用桩模块代替这些实际模块的直接下属模块，与已测试的模块或子系统组装成新的子系统；3）进行<span class=""blank"">______</span>，重新执行以前做过的全部或部分测试，排除组装过程可能引入的新错误；4）判断所有模块是否都已组装到系统中，若否则转到第2步继续，否则终止测试。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自顶向下组装测试的步骤</h1><div class=""a""><span class=""hit"">自顶向下</span>组装测试步骤：1）把主模块作为所测模块的<span class=""hit"">驱动模块</span>，所有直属于主模块的下属模块全部用桩模块代替，对主模块进行测试；2）采用深度优先或分层策略，用实际模块替代相应桩模块，再用桩模块代替这些实际模块的直接下属模块，与已测试的模块或子系统组装成新的子系统；3）进行<span class=""hit"">回归测试</span>，重新执行以前做过的全部或部分测试，排除组装过程可能引入的新错误；4）判断所有模块是否都已组装到系统中，若否则转到第2步继续，否则终止测试。</div><div class=""ansbox"">挖空答案：<b>自顶向下；驱动模块；回归测试</b></div><div class=""pg"">教材页码：P164</div>"	软件测试 领会 组装测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自顶向下组装测试的评价</h1><div class=""q"">优点：1）能较早看到整个系统的效果；2）能较早发现主要<span class=""blank"">______</span>中的<span class=""blank"">______</span>；3）先测试输入分支，可为以后的测试提供保证。缺点：需要编写<span class=""blank"">______</span>，而编写桩模块比较困难。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自顶向下组装测试的评价</h1><div class=""a"">优点：1）能较早看到整个系统的效果；2）能较早发现主要<span class=""hit"">控制</span>中的<span class=""hit"">错误</span>；3）先测试输入分支，可为以后的测试提供保证。缺点：需要编写<span class=""hit"">桩模块</span>，而编写<span class=""hit"">桩模块</span>比较困难。</div><div class=""ansbox"">挖空答案：<b>控制；错误；桩模块</b></div><div class=""pg"">教材页码：P165</div>"	软件测试 领会 组装测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自底向上组装测试的步骤</h1><div class=""q""><span class=""blank"">______</span>组装测试从程序模块结构中最底层的模块开始组装和测试，步骤：1）由驱动模块控制最底层模块的并行测试，也可把最底层模块组合成实现某一特定功能的簇，由驱动模块控制对它的测试；2）用实际模块代替驱动模块，与直属于该实际模块且已测试过的模块组装为<span class=""blank"">______</span>；3）为子系统配备驱动模块，进行新的测试；4）判断是否已组装到<span class=""blank"">______</span>，是则结束测试，否则执行步骤2）。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自底向上组装测试的步骤</h1><div class=""a""><span class=""hit"">自底向上</span>组装测试从程序模块结构中最底层的模块开始组装和测试，步骤：1）由驱动模块控制最底层模块的并行测试，也可把最底层模块组合成实现某一特定功能的簇，由驱动模块控制对它的测试；2）用实际模块代替驱动模块，与直属于该实际模块且已测试过的模块组装为<span class=""hit"">子系统</span>；3）为<span class=""hit"">子系统</span>配备驱动模块，进行新的测试；4）判断是否已组装到<span class=""hit"">主模块</span>，是则结束测试，否则执行步骤2）。</div><div class=""ansbox"">挖空答案：<b>自底向上；子系统；主模块</b></div><div class=""pg"">教材页码：P165</div>"	软件测试 领会 组装测试 13005软件工程
"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自底向上组装测试的评价</h1><div class=""q"">优点：1）<span class=""blank"">______</span>比较容易编写；2）多个模块或<span class=""blank"">______</span>可并行测试，以提高测试效率。缺点：最后才能测试主控模块，整个系统的结果最后才能看到。</div>"	"<div class=""top""><span class=""chip c1"">章节：软件测试</span><span class=""chip c2"">领会</span><span class=""chip c3"">组装测试</span></div><h1>自底向上组装测试的评价</h1><div class=""a"">优点：1）<span class=""hit"">驱动模块</span>比较容易编写；2）多个模块或<span class=""hit"">子系统</span>可并行测试，以提高测试效率。缺点：最后才能测试主控模块，整个系统的结果最后才能看到。</div><div class=""ansbox"">挖空答案：<b>驱动模块；子系统</b></div><div class=""pg"">教材页码：P166</div>"	软件测试 领会 组装测试 13005软件工程
